date,time,signal,confidence,t2,entry,sl,target,exit,outcome,pnl_pct,theta_pct,adj_pnl_pct,pnl_rs,adj_pnl_rs,rsi,session,day
2026-05-06,13:35,BUY,NORMAL,3,24103.55,24031.24,24224.07,24224.07,TARGET,0.5,0.04,0.46,500.0,462.0,63.0,afternoon,Wednesday
2026-05-11,14:30,BUY,NORMAL,3,23953.0,23881.14,24072.76,23881.14,SL,-0.3,0.03,-0.33,-300.0,-333.0,51.3,afternoon,Monday
2026-05-13,11:40,BUY,NORMAL,3,23498.6,23428.1,23616.09,23428.1,SL,-0.3,0.05,-0.35,-300.0,-350.0,53.6,midday,Wednesday
2026-05-14,11:20,BUY,NORMAL,4,23543.15,23472.52,23660.87,23660.87,TARGET,0.5,0.02,0.48,500.0,483.0,56.6,morning,Thursday
2026-06-02,12:40,BUY,NORMAL,3,23371.3,23301.19,23488.16,23488.16,TARGET,0.5,0.07,0.42,500.0,425.0,57.9,midday,Tuesday
2026-06-04,11:35,BUY,HIGH,5,23445.7,23375.36,23562.93,23375.36,SL,-0.3,0.08,-0.38,-300.0,-379.0,55.3,midday,Thursday
2026-06-05,12:35,SELL,NORMAL,4,23400.65,23470.85,23283.65,23283.65,TARGET,0.5,0.05,0.45,500.0,446.0,44.9,midday,Friday
2026-06-10,13:00,BUY,HIGH,5,23416.45,23346.2,23533.53,23346.2,SL,-0.3,0.05,-0.35,-300.0,-350.0,56.4,afternoon,Wednesday
